math.uni.wroc.pl 1 2181
fricas.org 2 349
gmail.com 3 310
hemmecke.org 4 213
users.sourceforge.net 5 189
mail.math.uni.wroc.pl 6 176
transcendence.maguirefamily.org 7 16
unistra.fr 8 8
newsynthesis.org 9 8
acm.org 10 3
