2007 153
2008 258
2009 251
2010 207
2011 260
2012 251
2013 164
2014 164
2015 122
2016 187
2017 161
2018 201
2019 72
2020 115
2021 108
2022 124
2023 169
2024 215
2025 155
2026 123
